ADM_DR_CD,ADM_DR_NM,OBJECTID,SLP DIR_count,SLP DIR_sum,SLP DIR_mean,SLP DIR_min,SLP DIR_ma,SLP DIR_range
3811111,?ôÏùç,3279,7359.000000000000000,1113907.435653680000000,151.366685100378000,0.035987854003906,359.989410400390000,359.953422546386000
3811131,Î∂ÅÎ©¥,3280,9124.000000000000000,1556036.992908470000000,170.543291638368000,0.000625610351562,359.934539794921000,359.933914184570000
3811132,?Ä?∞Î©¥,3281,4165.000000000000000,716035.670402526000000,171.917327827737000,0.016212463378906,359.911376953125000,359.895164489746000
3811151,?òÏ∞Ω??,3282,1029.000000000000000,177642.641178131000000,172.636191621118000,3.356079101562500,359.047454833984000,355.691375732421000
3811152,?îÎ£°??,3283,1674.000000000000000,256042.914150238000000,152.952756362149000,0.601509094238281,359.927154541015000,359.325645446777000
3811153,Î™ÖÍ≥°??,3284,800.000000000000000,147210.692398071000000,184.013365497589000,0.204856872558594,359.781982421875000,359.577125549316000
3811154,Î¥âÎ¶º??,3285,1514.000000000000000,315889.926311492000000,208.645922266507000,0.481857299804688,359.741210937500000,359.259353637695000
3811155,?©Ï???,3286,324.000000000000000,69930.205669403000000,215.833968115441000,8.895858764648430,357.076568603515000,348.180709838867000
3811251,Î∞òÏÜ°??,3287,254.000000000000000,57494.000209808300000,226.354331534678000,0.178169250488281,358.827606201171000,358.649436950683000
3811252,Ï§ëÏïô??,3288,676.000000000000000,135560.228893280000000,200.532882978224000,0.147705078125000,359.660705566406000,359.513000488281000
3811253,?ÅÎÇ®??,3289,144.000000000000000,35026.073200225800000,243.236619446012000,1.321205139160150,359.898681640625000,358.577476501464000
3811254,?¨Ìåå??,3290,1008.000000000000000,243991.247974395000000,242.054809498408000,1.020256042480460,359.279296875000000,358.259040832519000
3811255,Í∞Ä?åÏ†ï??,3291,363.000000000000000,84453.292015075600000,232.653697011227000,3.312828063964840,358.126800537109000,354.813972473144000
3811256,?±Ï£º??,3292,3055.000000000000000,610984.015178680000000,199.994767652595000,0.121437072753906,359.954589843750000,359.833152770996000
3811257,?ÖÎÇ®??,3293,4710.000000000000000,865823.414318084000000,183.826627243754000,0.010444641113281,359.930023193359000,359.919578552246000
3811331,Íµ¨ÏÇ∞Î©?,3294,5460.000000000000000,974632.452598571000000,178.504112197540000,0.000000000000000,359.936096191406000,359.936096191406000
3811332,ÏßÑÎèôÎ©?,3295,4020.000000000000000,732990.811229705000000,182.336022693956000,0.040840148925781,359.903747558593000,359.862907409667000
3811333,ÏßÑÎ∂ÅÎ©?,3296,5775.000000000000000,914953.340404510000000,158.433478857923000,0.021575927734375,359.607452392578000,359.585876464843000
3811334,ÏßÑÏ†ÑÎ©?,3297,9690.000000000000000,1729323.856697080000000,178.464794292784000,0.003326416015625,359.983612060546000,359.980285644531000
3811351,?ÑÎèô,3298,2397.000000000000000,375702.604572296000000,156.738675249184000,0.010765075683594,359.772308349609000,359.761543273925000
3811352,Í∞Ä?¨Îèô,3299,667.000000000000000,83564.357517242400000,125.283894328699000,0.370773315429688,359.962585449218000,359.591812133789000
3811353,?îÏòÅ??,3300,340.000000000000000,37929.263404846100000,111.556657073077000,0.660354614257812,359.997222900390000,359.336868286132000
3811354,Î¨∏Ìôî??,3301,217.000000000000000,24628.720066070500000,113.496405834426000,19.863105773925700,168.417694091796000,148.554588317871000
3811357,?ÑÏõî??,3302,341.000000000000000,32013.056850433300000,93.879932112707700,0.294471740722656,352.012207031250000,351.717735290527000
3811358,?êÏÇ∞??,3303,143.000000000000000,18798.558967590300000,131.458454318813000,10.362335205078100,227.461975097656000,217.099639892578000
3811364,?©Ìè¨??,3304,74.000000000000000,10797.270561218200000,145.909061638084000,65.788024902343700,279.660583496093000,213.872558593750000
3811365,?∞Ìò∏??,3305,113.000000000000000,11670.648460388100000,103.280074870691000,1.692855834960930,354.149963378906000,352.457107543945000
3811366,Î∞òÏõîÏ§ëÏïô??,3306,127.000000000000000,15576.862174987700000,122.652458070770000,58.012180328369100,343.406555175781000,285.394374847412000
3811367,?§Îèô??,3307,225.000000000000000,28970.720718383700000,128.758758748372000,2.463790893554680,359.067657470703000,356.603866577148000
3811368,ÍµêÎ∞©??,3308,330.000000000000000,31356.611843109100000,95.020035888209400,0.338104248046875,359.259765625000000,358.921661376953000
3811411,?¥ÏÑú??,3309,6927.000000000000000,1201675.796981810000000,173.477089213485000,0.049629211425781,359.954711914062000,359.905082702636000
3811451,?åÏõê1??,3310,86.000000000000000,11927.325317382800000,138.689829271893000,11.358184814453100,344.397033691406000,333.038848876953000
3811452,?åÏõê2??,3311,424.000000000000000,41464.580615997300000,97.793822207540800,1.784133911132810,359.896850585937000,358.112716674804000
3811455,?åÏÑ±??,3312,1179.000000000000000,172523.207031250000000,146.330116226675000,0.029045104980469,359.952087402343000,359.923042297363000
3811456,?ëÎçï1??,3313,106.000000000000000,25157.250267028800000,237.332549688951000,122.407417297363000,331.901489257812000,209.494071960449000
3811457,?ëÎçï2??,3314,207.000000000000000,29369.312469482400000,141.880736567547000,22.918563842773400,344.239624023437000,321.321060180664000
3811458,?©ÏÑ±1??,3315,660.000000000000000,101674.825649261000000,154.052766135244000,0.288009643554688,345.280914306640000,344.992904663085000
3811459,?©ÏÑ±2??,3316,232.000000000000000,55123.925888061500000,237.603128827851000,4.177711486816400,357.602111816406000,353.424400329589000
3811460,Íµ¨Ïïî1??,3317,290.000000000000000,38689.927635192800000,133.413543569630000,4.004669189453120,324.647430419921000,320.642761230468000
3811461,Íµ¨Ïïî2??,3318,95.000000000000000,20695.173721313400000,217.843933908562000,0.440994262695312,354.379516601562000,353.938522338867000
3811462,Î¥âÏïî??,3319,797.000000000000000,148882.533226013000000,186.803680333768000,0.675346374511719,359.182525634765000,358.507179260253000
3811463,?ùÏ†Ñ??,3320,233.000000000000000,30327.109905242900000,130.159269979583000,3.240653991699210,358.663757324218000,355.423103332519000
3811554,?¨Ï¢å??,3321,647.000000000000000,125526.800151824000000,194.013601471135000,0.753089904785156,359.260345458984000,358.507255554199000
3811555,?úÎ∞±??,3322,104.000000000000000,18238.047130584700000,175.365837794083000,52.705875396728500,264.291778564453000,211.585903167724000
3811556,Í≤ΩÌôî??,3323,378.000000000000000,62603.433666229200000,165.617549381558000,20.067825317382800,359.583343505859000,339.515518188476000
3811557,Î≥ëÏïî??,3324,123.000000000000000,21401.432167053200000,173.995383471977000,98.584907531738200,329.385955810546000,230.801048278808000
3811558,?ùÎèô,3325,295.000000000000000,62002.782211303700000,210.178922750182000,148.457382202148000,293.106811523437000,144.649429321289000
3811559,?¥Îèô,3326,99.000000000000000,24645.488739013600000,248.944330697107000,187.356567382812000,353.178222656250000,165.821655273437000
3811560,?êÏ???,3327,665.000000000000000,168647.866500854000000,253.605814286999000,0.075958251953125,355.666900634765000,355.590942382812000
3811561,?ïÏÇ∞??,3328,346.000000000000000,86595.069911956700000,250.274768531667000,0.000000000000000,359.939971923828000,359.939971923828000
3811562,?çÌò∏??,3329,1008.000000000000000,253588.992843627000000,251.576381789313000,0.222915649414062,359.986511230468000,359.763595581054000
3811563,?ÖÏ≤ú??,3330,3464.000000000000000,609539.167358398000000,175.963962863278000,0.000000000000000,359.981414794921000,359.981414794921000
3811564,?ÖÎèô1??,3331,4053.000000000000000,695287.088233947000000,171.548751106328000,0.113449096679688,359.896820068359000,359.783370971679000
3811565,?ÖÎèô2??,3332,1934.000000000000000,322911.789340972000000,166.965764912602000,0.082618713378906,359.949401855468000,359.866783142089000
3811566,Ï∂©Î¨¥??,3333,2249.000000000000000,388440.253276824000000,172.716875623310000,0.133720397949219,357.452362060546000,357.318641662597000
