,행정동명,일자,강수량,침수여부,펌프장최소거리,우수저류장최소거리,경사도(합계),경사도(평균),경사도(최소값),경사도(최대값),경사도(최대-최소),고도(평균값),고도(최소값),고도(최대값),고도(최대-최소)
32,구산면,2016-10-05,65.0,0,2793.500313234495,3476.3683591746308,70318.6612,12.8647386,0.0,35.55501175,35.55501175,65.9873876,0.0,272.0334473,272.0334473
33,구산면,2019-10-02,73.3,0,2793.500313234495,3476.3683591746308,70318.6612,12.8647386,0.0,35.55501175,35.55501175,65.9873876,0.0,272.0334473,272.0334473
34,구산면,2019-10-03,0.0,0,2793.500313234495,3476.3683591746308,70318.6612,12.8647386,0.0,35.55501175,35.55501175,65.9873876,0.0,272.0334473,272.0334473
35,구암1동,2012-09-17,25.0,0,2247.24843672158,,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
36,구암1동,2012-09-18,0.0,0,2247.24843672158,,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
37,구암1동,2012-09-19,0.0,0,2247.24843672158,,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
38,구암1동,2014-08-25,71.0,0,2247.24843672158,,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
39,구암1동,2016-10-05,68.6,0,2247.24843672158,5450.439570897651,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
40,구암1동,2019-10-02,46.0,1,2247.24843672158,4599.889098368673,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
41,구암1동,2019-10-03,0.0,1,2247.24843672158,4599.889098368673,4055.344005,13.98394484,0.328304052,35.98303604,35.65473199,162.0200687,30.63472557,483.1031189,452.4683933
42,구암2동,2012-09-17,25.0,0,4018.6601519855926,,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
43,구암2동,2012-09-18,0.0,0,4018.6601519855926,,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
44,구암2동,2012-09-19,0.0,0,4018.6601519855926,,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
45,구암2동,2014-08-25,71.0,0,4018.6601519855926,,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
46,구암2동,2016-10-05,68.6,0,4018.6601519855926,7437.5570962115635,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
47,구암2동,2019-10-02,46.0,1,4018.6601519855926,4283.817090187235,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
48,구암2동,2019-10-03,0.0,1,4018.6601519855926,4283.817090187235,495.2332584,5.212981668,0.371279716,19.35428429,18.98300457,54.46611025,26.93865395,128.7934418,101.8547878
49,내서읍,2012-09-17,25.0,0,4383.829542550205,,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
50,내서읍,2012-09-18,0.0,0,4383.829542550205,,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
51,내서읍,2012-09-19,0.0,0,4383.829542550205,,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
52,내서읍,2014-08-25,64.0,0,4383.829542550205,,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
53,내서읍,2016-10-05,52.6,0,4383.829542550205,7671.443226138659,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
54,내서읍,2019-10-02,73.3,0,4383.829542550205,1844.4174412687496,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
